date,category,ad,loc,floor,age,rooms,gross,price
08-10-2024,Daire,Safir'Den Kampüs Karşısı Eşyalı Kapalı Mutfak 1+1 Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,1. Kat,4 Yaşında,1 + 1,55 m²,15.000
11-10-2024,Daire,İzmir Buca Fırat Mahallesin' De 2+1 Kiralık Daire,İzmir / Buca / Fırat Mah.,En Üst Kat,15 Yaşında,2 + 1,125 m²,20.000
01-10-2024,Daire,Güneş Emlak'Tan İzban Dibi 2+1 100 M2 Açık Mutfak Yüksek Giriş Kiralık Daire,İzmir / Buca / İnkılap Mah.,Yüksek Giriş,22 Yaşında,2 + 1,100 m²,17.000
03-10-2024,Daire,Arga'Dan Buca Çevik 1 Meydan Yakını Eşyalı D.Gazlı 1+1 Kiralık Daire.,İzmir / Buca / Kozağaç Mah.,Bahçe Katı,Sıfır Bina,1 + 1,70 m²,18.000
10-10-2024,Daire,Buca Da Çaldıran Mahalesinde Kiralık Geniş 1+1 Daire,İzmir / Buca / Çaldıran Mah.,Yüksek Giriş,30 Yaşında,1 + 1,108 m²,11.500
17-09-2024,Daire,Nezih Site İçi ''2+1'' Full Eşyalı - Otoparklı Kiralık Daire,İzmir / Buca / Atatürk Mah.,3. Kat,15 Yaşında,3 + 1,110 m²,26.000
10-10-2024,Daire,Buca İnönü Mah. Kiralık 2+1 Daire,İzmir / Buca / İnönü Mah.,Bahçe Katı,6 Yaşında,2 + 1,150 m²,25.000
10-10-2024,Daire,Merkezi Konumda Önü Açık Manzaralı Doğalgazlı Daire,İzmir / Buca / Menderes Mah.,4. Kat,25 Yaşında,3 + 1,140 m²,23.000
11-10-2024,Daire,Atölye'Den Hasanağa Bahçesine 3 Dakika Mesafe Kiralık 2+1 Daire,İzmir / Buca / Adatepe Mah.,4. Kat,8 Yaşında,2 + 1,85 m²,20.000
09-10-2024,Daire,Buca Adatepe Mah. Tınaztepe Kampüs Civarı 2+1 D.Gazlı Daire,İzmir / Buca / Adatepe Mah.,3. Kat,Sıfır Bina,2 + 1,100 m²,20.000
09-10-2024,Daire,Eşyalı Kiralık Doğalgazlı 2+1 Daire,İzmir / Buca / Gaziler Mah.,4. Kat,31 Yaşında,2 + 1,85 m²,20.000
27-09-2024,Daire,Buca Çevik 1 Meydanı Yanı Cadde Üzeri 3+1 Önü Açık Kiralık Funda,İzmir / Buca / Dumlupınar Mah.,4. Kat,16 Yaşında,3 + 1,140 m²,35.000
18-09-2024,Daire,Smyrna Team Kw’ Den Buca Kuruçeşme’De Kiralık 3+1 Arakat Daire,İzmir / Buca / Kuruçeşme Mah.,4. Kat,27 Yaşında,3 + 1,120 m²,28.000
30-09-2024,Daire,Buca Yaylacık Mahallesi Kiralık Daire,İzmir / Buca / Yaylacık Mah.,Giriş Katı,Sıfır Bina,1 + 1,50 m²,13.000
04-10-2024,Daire,Buca Menderes Caddesi Üzerinde Ögrenciye İşyerine Uygun Kiralık 2+1 Kefilli Verilecektir,İzmir / Buca / Vali Rahmi Bey Mah.,En Üst Kat,45 Yaşında,2 + 1,85 m²,13.000
06-10-2024,Daire,Buca Yıldız Mahallesinde 2+1 Kiralık Daire,İzmir / Buca / Yıldız Mah.,2. Kat,5 Yaşında,2 + 1,70 m²,17.000
10-10-2024,Daire,Buca Batı Çıkışı Doğalgazlı Full Eşyalı Lüx 3+1,İzmir / Buca / Buca Koop. Mah.,Yüksek Giriş,12 Yaşında,3 + 1,130 m²,25.500
10-10-2024,Daire,"9 Eylül Üniversitesine 5 Dakika,Kalabalık Aileler İçin Geniş, Full Eşyalı Doğalgazlı Satılık",İzmir / Buca / Kozağaç Mah.,Giriş Katı,20 Yaşında,3 + 1,160 m²,2.750.000
11-10-2024,Daire,İzmir Buca Kozağaç Meydanda//Cade Üzeri 1.Kat Ve Bahçekatı.2+1kiralık Daireler,İzmir / Buca / Kozağaç Mah.,Yüksek Giriş,21 Yaşında,2 + 1,75 m²,13.000
03-10-2024,Daire,* Buca Akıncılar Nato Lokasyonunda Kiralık 3+1 Geniş Daire.!,İzmir / Buca / Akıncılar Mah.,3. Kat,23 Yaşında,3 + 1,145 m²,25.000
11-10-2024,Daire,Buca Çamlıpınar'Da 2+1 Kiralık Daire,İzmir / Buca / Çamlıpınar Mah.,En Üst Kat,20 Yaşında,2 + 1,105 m²,11.000
09-10-2024,Daire,Kiralık Eşyalı Şirinyer Vergi Dairesi Ecevit Parkı Bitişiği 880/4 Sok No 6 Daire 5,İzmir / Buca / Dicle Mah.,4. Kat,5 Yaşında,1 + 1,110 m²,18.000
07-10-2024,Daire,Buca Yıldız'Da Site İçi 3+1 Asansörlü Full Yapılı Kiralık Daire,İzmir / Buca / Yıldız Mah.,8. Kat,13 Yaşında,3 + 1,130 m²,19.000
10-10-2024,Daire,Turyap Buca'Dan Çamlıkule'De 2+1 D. Gazlı Geniş Daire,İzmir / Buca / Çamlıkule Mah.,Zemin,16 Yaşında,2 + 1,100 m²,15.500
04-10-2024,Daire,Tınaztepede Eşyalı Kiralık 1+1,İzmir / Buca / Kuruçeşme Mah.,Bahçe Katı,10 Yaşında,1 + 1,50 m²,16.000
03-10-2024,Daire,Buca Hat Boyunda Koşu İzban Durağına Yakın 2+1 85 M2 Ankastre Mutfak Hilton Banyo Çift Cephe Daire,İzmir / Buca / Akıncılar Mah.,1. Kat,9 Yaşında,2 + 1,85 m²,20.000
05-10-2024,Daire,Çamlıkule Mh. Merkezi Konumda // 2+1 // D.Gazlı- Kapalı Mutfak - 2 Balkon - Arakat Kiralık Daire,İzmir / Buca / Çamlıkule Mah.,2. Kat,20 Yaşında,2 + 1,130 m²,16.500
10-10-2024,Daire,Buca Konforun Adresi,İzmir / Buca / Adatepe Mah.,Ara Kat,2 Yaşında,2 + 1,55 m²,200
10-10-2024,Daire,Er Yapı Emlak'Tan Şirinyer Forbes Yanı 3+1 Balkonlu D.Gazlı,İzmir / Buca / Efeler Mah.,3. Kat,31 Yaşında,3 + 1,155 m²,25.000
10-10-2024,Daire,Buca Koop'Da 3+1 Arakat 3 Balkonlu Asansörlü Kiralık Daire,İzmir / Buca / Buca Koop. Mah.,2. Kat,20 Yaşında,3 + 1,139 m²,18.000
10-10-2024,Daire,Buca Akıncılar Metro Cıkışı,İzmir / Buca / Akıncılar Mah.,3. Kat,18 Yaşında,3 + 1,140 m²,20.000
28-09-2024,Daire,2+1 Full Eşyalı Ara Kat Doğalgazlı Klimalı Kiralık Daire,İzmir / Buca / Yiğitler Mah.,Ara Kat,22 Yaşında,2 + 1,90 m²,20.000
28-09-2024,Daire,Ay Gayrimenkulden Şirinyer Merkezde Kiralık Daire !!!,İzmir / Buca / Hürriyet Mah.,3. Kat,Sıfır Bina,2 + 1,80 m²,17.500
06-10-2024,Daire,Buca Yıldız Mahallesinde 2+1 Kiralik Daire,İzmir / Buca / Yıldız Mah.,2. Kat,6 Yaşında,2 + 1,70 m²,17.000
06-10-2024,Daire,Buca Adatepe Mah. Dokuzçeşmeler Kampüs Yakını Manzaralı Full Eşyalı 1+1 Kiralık Daire,İzmir / Buca / Adatepe Mah.,4. Kat,3 Yaşında,1 + 1,45 m²,18.000
08-10-2024,Daire,Doğalgazlı-3 Oda 1 Salon-Sonkat 135 M2,İzmir / Buca / İnkılap Mah.,4. Kat,28 Yaşında,3 + 1,135 m²,21.000
23-09-2024,Daire,Şirinyer Efeler Mh Site İçerisi 3+1 Ful Eşyalı Manzaralı Daire,İzmir / Buca / Efeler Mah.,4. Kat,25 Yaşında,3 + 1,140 m²,32.000
09-10-2024,Daire,Adatepede Üniversiteye Yakın .Eşyalı Kiralık Daire,İzmir / Buca / Adatepe Mah.,En Üst Kat,25 Yaşında,2 + 1,85 m²,19.000
07-10-2024,Daire,Buca Şirinyer Hürriyet Mahallesi//Nato Karşısı //Dominoz Pizza Caivarı//Izbana 8-10dk//Dublex 3+1/Da,İzmir / Buca / Hürriyet Mah.,4. Kat,25 Yaşında,3 + 1,150 m²,25.000
10-10-2024,Daire,Buca Camlıkulede 1+1 Full Eşyalı,İzmir / Buca / Çamlıkule Mah.,3. Kat,10 Yaşında,1 + 1,55 m²,18.000
17-09-2024,Daire,Sahibinden Ara Kat Eşyalı Doğalgazlı Daire,İzmir / Buca / Adatepe Mah.,Ara Kat,10 Yaşında,2 + 1,65 m²,20.000
30-09-2024,Daire,Buca Yaylacık Mahallesi 1+1 Daire,İzmir / Buca / Yaylacık Mah.,1. Kat,Sıfır Bina,1 + 1,50 m²,15.000
08-10-2024,Daire,Buca Cezaevi Karşısı Cadde Üstü Geniş Metrajlı Ara Kat 3+1,İzmir / Buca / Vali Rahmi Bey Mah.,1. Kat,30 Yaşında,3 + 1,145 m²,25.000
02-10-2024,Daire,Markadan 1+0 Eşyalı Doğalgazlı Ve Klimalı Kiralık Daire,İzmir / Buca / Atatürk Mah.,2. Kat,4 Yaşında,Stüdyo,50 m²,12.500
28-09-2024,Daire,Ay Gayrimenkul'Den Yaylacık Mh. 3+1 Ferah Kiralık Daire!!,İzmir / Buca / Yaylacık Mah.,4. Kat,5 Yaşında,3 + 1,130 m²,19.000
26-09-2024,Daire,Adatepe Pazar Yeri Karşısı 2+1 Full Eşyalı Kiralık Daire,İzmir / Buca / Adatepe Mah.,1. Kat,8 Yaşında,2 + 1,100 m²,20.000
12-09-2024,Daire,Safir'Den Eşyalı 1+1 Doğalgazlı Daire,İzmir / Buca / Atatürk Mah.,3. Kat,4 Yaşında,1 + 1,55 m²,17.000
10-10-2024,Müstakil Ev,Viaj Emlak Kiralık 2+1 Eşyalı Müstakil Bahçeli Ev Belenbaşı Buca,İzmir / Buca / Belenbaşı Mah.,,3 Yaşında,2 + 1,100 m²,10.000
10-10-2024,Daire,İzmir Buca Buca Koop Mahallesi Batı Çıkışı Üzerinde Doğalgazlı 3+1 Tadilatlı Kiralık Daire,İzmir / Buca / Buca Koop. Mah.,5. Kat,15 Yaşında,3 + 1,120 m²,25.500
09-10-2024,Daire,İzmir Buca Sirinkapi 2+1 Mustaki1038 Sok No 20,İzmir / Buca / Şirinkapı Mah.,Bahçe Katı,15 Yaşında,2 + 1,110 m²,14.500
10-10-2024,Daire,Kadın Doğum Hastanesine Yakın Eşyalı Klimalı 1+0 Kiralık Daire,İzmir / Buca / Atatürk Mah.,Zemin,6 Yaşında,1 + 2,35 m²,10.000
10-10-2024,Daire,Er Yapı Emlak Ofisinden Buca Belediye Civarı Merkezi Konum 3+1,İzmir / Buca / Barış Mah.,4. Kat,31 Yaşında,3 + 1,125 m²,18.000
07-10-2024,Daire,Buca Barış Mah./Kızkulesi Yakını//130m2 3+1//Arakat/Memura Daire,İzmir / Buca / Barış Mah.,6. Kat,25 Yaşında,3 + 1,135 m²,20.000
10-10-2024,Daire,Göksu Mah Ara Kat Daire Kiralık,İzmir / Buca / Göksu Mah.,Ara Kat,30 Yaşında,2 + 1,125 m²,12.500
28-09-2024,Daire,Buca Tınaztepe Kampüs Karşısında Sıfır Eşya Lüx Daire,İzmir / Buca / Kuruçeşme Mah.,En Üst Kat,1 Yaşında,1 + 1,40 m²,18.000
07-10-2024,Daire,Buca Otokent Karşısı 3+1 Kiralık Daire,İzmir / Buca / İnönü Mah.,En Üst Kat,22 Yaşında,3 + 1,140 m²,18.000
27-09-2024,Daire,Şirinyer Laleli Mh. 3+1 150m2 Ebeveyn Banyolu D.Gazlı Daire,İzmir / Buca / Laleli Mah.,3. Kat,12 Yaşında,3 + 1,150 m²,25.000
04-10-2024,Müstakil Ev,Buca Dokuzçeşmeler Kampüsü Bitişiğinde 2+1 Geniş Bahçeli Mustakil Ev,İzmir / Buca / Dumlupınar Mah.,,30 Yaşında,2 + 1,175 m²,17.000
02-10-2024,Daire,Marka'Dan Kampüs Yakını 1+1 Eşyalı&Klimalı Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,Zemin,4 Yaşında,1 + 1,55 m²,12.500
27-09-2024,Daire,Ay Gayrimenkul'Den Şirinyer İzban Dibi 3+1 Kiralık Daire!!,İzmir / Buca / Hürriyet Mah.,3. Kat,11 Yaşında,3 + 1,120 m²,21.500
12-09-2024,Daire,Safir'Den Eşyalı Balkonlu Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,2. Kat,4 Yaşında,2 + 1,60 m²,19.000
07-10-2024,Daire,Otobüs Ve Dolmuşa 1 Sokak Mesafede 2+1 Bahçeli Balkonlu Doğalgaz Kombili Bakımlı Kiralık Daire,İzmir / Buca / Fırat Mah.,Yüksek Giriş,25 Yaşında,2 + 1,90 m²,14.000
10-10-2024,Daire,Şirinyer İzban Yanı 3+1 135 M2 D.Gazlı Daire,İzmir / Buca / İnkılap Mah.,Yüksek Giriş,7 Yaşında,3 + 1,135 m²,23.000
10-10-2024,Daire,Buca İşçi Evleri Yiğitler Mah.'De 2+1 Eşyalı Kiralık Daire,İzmir / Buca / Yiğitler Mah.,4. Kat,21 Yaşında,2 + 1,85 m²,19.000
10-10-2024,Daire,Viraj Emlak Kiralık 3+1 155mt 4 Balkon 2tuvalet Yiğitler Mah Şirinyer,İzmir / Buca / Yiğitler Mah.,4. Kat,35 Yaşında,3 + 1,155 m²,15.000
11-10-2024,Daire,Buca-İnönü Mh.De Kiralık Yeni Daire,İzmir / Buca / İnönü Mah.,2. Kat,1 Yaşında,2 + 1,90 m²,20.000
07-10-2024,Daire,Kampüs Karşısı Kiralık 1+1 Eşyalı,İzmir / Buca / Kuruçeşme Mah.,2. Kat,5 Yaşında,1 + 1,65 m²,15.500
02-10-2024,Daire,Marka'Dan Eşyalı Klimalı Kiralık Daire,İzmir / Buca / Atatürk Mah.,2. Kat,5 Yaşında,1 + 1,50 m²,13.000
29-09-2024,Daire,Ref'Den İbf Yanı Doğalgazlı Teraslı Dubleks 2+1 Kiralık Daire,İzmir / Buca / Adatepe Mah.,4. Kat,Sıfır Bina,2 + 1,95 m²,20.000
27-09-2024,Daire,Ay Gayrimenkul'Den Göksu'Da 2+1 Eşyalı Doğalgazlı Kiralık Daire!,İzmir / Buca / Göksu Mah.,4. Kat,11 Yaşında,3 + 1,120 m²,16.950
12-09-2024,Daire,Safir'Den Öğrenciye Uygun 2+1 Eşyalı Kiralık Daire,İzmir / Buca / Atatürk Mah.,3. Kat,4 Yaşında,2 + 1,75 m²,22.000
08-10-2024,Daire,Güneş'Ten Şirinyer İzban 10dk 3+1 130m Y. Giriş Balkon 3 Tuvalet Önü Açık,İzmir / Buca / Hürriyet Mah.,Yüksek Giriş,15 Yaşında,3 + 1,130 m²,23.000
09-10-2024,Daire,Buca Kafeler Sokağı Yanı 3+1 D.Gazlı 4 Cephe Açık 3 Balkonlu Kiralık Daire,İzmir / Buca / Vali Rahmi Bey Mah.,4. Kat,19 Yaşında,3 + 1,135 m²,20.000
10-10-2024,Daire,Er Yapı Emlak Ofisinden T.Tepe Kampüs Karşısı Cadde Üzeri,İzmir / Buca / Kuruçeşme Mah.,2. Kat,11 Yaşında,1 + 1,49 m²,16.500
05-10-2024,Daire,"Eşyalı ,2 Oda 1 Salon Sıfır Lüx ,Doğalgazlı Ve Klimalı Daire",İzmir / Buca / Yaylacık Mah.,En Üst Kat,Sıfır Bina,2 + 1,75 m²,28.000
03-10-2024,Daire,Buca Atatürk Mahallesinde Üniversiteye Yakın 2+0 Gayet Kullanışlı Doğalgazlı Arakat Kiralık Daire,İzmir / Buca / Atatürk Mah.,Ara Kat,Sıfır Bina,2 + 1,75 m²,19.000
24-09-2024,Daire,Kiralık Daire Üniversite Tam Karşısında,İzmir / Buca / Menderes Mah.,Ara Kat,25 Yaşında,3 + 1,138 m²,22.500
04-10-2024,Daire,İzmir Buca Yaylacık Mahallesi//Siteiçi Çiftasansörlü Yangınmerdivenli//Fulyapılı Arakat 130m2/2+1dai,İzmir / Buca / Yaylacık Mah.,10. Kat,20 Yaşında,2 + 1,135 m²,20.500
08-10-2024,Daire,Üçkuyular Meydan Ve Fakülteler Yakını '2+1' Arakat-Dgazlı Daire,İzmir / Buca / Atatürk Mah.,3. Kat,11 Yaşında,2 + 1,70 m²,15.200
09-10-2024,Daire,Buca İşçi Evleri Yiğitler Mah.'De Eşyalı 2+1 D.Gazlı Kiralık Daire,İzmir / Buca / Yiğitler Mah.,4. Kat,24 Yaşında,2 + 1,90 m²,19.000
25-09-2024,Daire,Buca Ada Emlaktan Atatürk Mh. 3+1 Kiralık Daire,İzmir / Buca / Atatürk Mah.,2. Kat,11 Yaşında,3 + 1,170 m²,25.000
10-09-2024,Daire,Bella Home Sitesinde Full Eşyalı 1+1 Kiralık Daire,İzmir / Buca / Atatürk Mah.,5. Kat,5 Yaşında,1 + 1,55 m²,17.500
03-09-2024,Daire,Buca Adatepe Mahallesi 3+1 Kiralık Daire,İzmir / Buca / Adatepe Mah.,En Üst Kat,20 Yaşında,3 + 1,170 m²,25.000
01-10-2024,Daire,"Buca""Nın Merkezi Yerinde 3+1 130m2 Doğalgazlı Asansörlü Arakat Kiralık Daire",İzmir / Buca / Ufuk Mah.,2. Kat,20 Yaşında,3 + 1,130 m²,23.000
18-09-2024,Daire,"Buca Oyak 1.Etap'Da Eşyalı,Havuzlu,Otoparklı Sıfır 2+1 Kiralık Rezidans",İzmir / Buca / Aydoğdu Mah.,Bahçe Katı,12 Yaşında,2 + 1,100 m²,45.000
17-08-2024,Daire,Tınaztepe Kampüse Yürüyerek 10 Dk Mesafede Eşyalı Ev,İzmir / Buca / Atatürk Mah.,6. Kat,4 Yaşında,1 + 1,50 m²,18.500
07-10-2024,Daire,Tınaztepe Kampüse Yakın Tınaztepe Hastanesi Civarı 1+1 80 M2 Dgazlı Lüks Eşyalı Asansörlü Arakat,İzmir / Buca / Kuruçeşme Mah.,2. Kat,10 Yaşında,1 + 1,80 m²,20.000
03-10-2024,Daire,Ata Emlaktan Laleli Mahallesi Vali Rahmi Bey Okulu Yakını 2+1daire,İzmir / Buca / Laleli Mah.,4. Kat,27 Yaşında,2 + 1,90 m²,13.000
23-09-2024,Daire,Şirinyer Hürriyet Mahallesinde 2+1 Eşyalı Kiralık Daire,İzmir / Buca / Hürriyet Mah.,Ara Kat,4 Yaşında,2 + 1,80 m²,20.000
23-08-2024,Daire,Çevikbir Meydanı Ve Ssk Hastanesine2 Dk Mesafede 2+1 Daire,İzmir / Buca / Kozağaç Mah.,Ara Kat,9 Yaşında,2 + 1,115 m²,23.000
09-10-2024,Daire,Goldia Yapı’Dan Tınaztepe Yakını 1+1 Eşyalı Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,2. Kat,3 Yaşında,1 + 1,55 m²,16.000
06-10-2024,Daire,Buca Yeşilbağlar Mahallesi'Nde Aile Apartmanı Arakat 3+1 Kiralık Daire,İzmir / Buca / Yeşilbağlar Mah.,Ara Kat,16 Yaşında,3 + 1,125 m²,20.000
03-10-2024,Daire,Parisadan Site İçinde Eşyalı Dgazlı Klimalı 3+1 Kiralık Daire,İzmir / Buca / Yıldız Mah.,7. Kat,16 Yaşında,3 + 1,125 m²,25.000
02-10-2024,Daire,Marka'Dan Kampüs Yakını Klimalı Eşyalı Kiralık Daire,İzmir / Buca / Atatürk Mah.,Yüksek Giriş,5 Yaşında,1 + 1,55 m²,13.000
25-09-2024,Daire,Ref'Den Kampüs Karşısı Lüks Eşyalı Balkonlu 2+1 Kiralık Daire,İzmir / Buca / Atatürk Mah.,2. Kat,4 Yaşında,2 + 1,80 m²,25.000
13-09-2024,Daire,Buca Adatepe Mahallesi Eşyalı Kiralı 1+1,İzmir / Buca / Adatepe Mah.,3. Kat,6 Yaşında,1 + 1,55 m²,15.000
08-10-2024,Daire,Güneş'Ten 9 Eylül İktisat 5dk Eşyalı 1+1 60m Yüksek Giriş,İzmir / Buca / Yaylacık Mah.,4. Kat,4 Yaşında,1 + 1,60 m²,18.000
10-10-2024,Daire,Viraj Emlak 3+1 150m D.Gazlı Ara Kat Geniş Odalı Atatürk Mah Buca,İzmir / Buca / Atatürk Mah.,2. Kat,10 Yaşında,3 + 1,155 m²,22.500
10-10-2024,Daire,Er Yapı Emlak'Tan T.Tepe Kampüs Civarı D.Gazlı Klimalı Balkonlu,İzmir / Buca / Kuruçeşme Mah.,2. Kat,3 Yaşında,1 + 1,55 m²,18.000
12-09-2024,Daire,Safir'Den Kiralık Sıfır Eşyalı Doğalgazlı 2+1 Daire,İzmir / Buca / Yenigün Mah.,3. Kat,4 Yaşında,2 + 1,95 m²,25.000
25-09-2024,Daire,Buca Ada Emlaktan Adatepe Mh. 1+1 Eşyalı Kiralık Daire,İzmir / Buca / Adatepe Mah.,3. Kat,4 Yaşında,1 + 1,50 m²,12.000
10-09-2024,Daire,Deü Yakını Site İçi Full Eşyalı 1+1 Kıralık Daire,İzmir / Buca / Atatürk Mah.,8. Kat,5 Yaşında,1 + 1,60 m²,18.000
14-08-2024,Daire,Şehrin Göbeğinde Myvia Da Kiralık 3+1 Daire,İzmir / Buca / Buca Koop. Mah.,Bahçe Katı,5 Yaşında,3 + 1,145 m²,45.000
29-09-2024,Daire,Heykel Meydan Üst Kısmında 2+1 Doğalgazlı Klimalı Eşyalı Arakat Daire,İzmir / Buca / Adatepe Mah.,2. Kat,3 Yaşında,2 + 1,70 m²,18.000
08-10-2024,Daire,Buca Çevikbir Meydan'Da Bankalar Yanı 1+1 Merkezi Konum Geniş Doğalgazlı Klimalı Arakat Daire,İzmir / Buca / Kozağaç Mah.,1. Kat,10 Yaşında,2 + 1,85 m²,20.000
23-08-2024,Daire,Özevim Emlaktan Merkezi Konumda Öğrenciye Bekara Uygun Kiralık Eşyalı 3+1 Daire,İzmir / Buca / Mustafa Kemal Mah.,2. Kat,20 Yaşında,3 + 1,146 m²,25.000
10-10-2024,Daire,"Parisa""Dan Site İçinde Yüzme Havuzlu Spor Salonlu Eşyalı Doğalgazlı İki Adet Kliması Var",İzmir / Buca / Atatürk Mah.,Yüksek Giriş,5 Yaşında,1 + 1,55 m²,15.750
02-10-2024,Daire,Marka'Dan Anacadde&Kampüs Yakını Doğal Gazlı Eşyalı Kiralık Dair,İzmir / Buca / Atatürk Mah.,2. Kat,4 Yaşında,1 + 1,55 m²,15.500
07-10-2024,Daire,Buca Kozağaç Mahallesinde Eşyalı 1+1 Kiralık Daire,İzmir / Buca / Kozağaç Mah.,En Üst Kat,5 Yaşında,1 + 1,50 m²,18.000
24-09-2024,Daire,İzmir Buca Bucakoop,İzmir / Buca / Buca Koop. Mah.,8. Kat,25 Yaşında,3 + 1,120 m²,15.000
10-09-2024,Daire,Aslan Emlak Buca Kuruceşme Doğal Ğazlı Asansörlü Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,1. Kat,5 Yaşında,1 + 1,70 m²,13.000
10-10-2024,Daire,Viraj Emlak Kiralık Teraslı 2+1 70 M D.Gazlı Buca Merkez,İzmir / Buca / Kozağaç Mah.,3. Kat,8 Yaşında,2 + 1,70 m²,16.500
10-10-2024,Daire,Er Yapı Emlak Ofisinden T.Tepe Kampüs Karşısı 1+1 Eşyasız,İzmir / Buca / Kuruçeşme Mah.,2. Kat,5 Yaşında,1 + 1,45 m²,11.000
08-10-2024,Daire,Şirinyer İnklap Mah 3+1 Doğalgaz Kombili Arakat Kiralık Daire,İzmir / Buca / İnkılap Mah.,Ara Kat,25 Yaşında,3 + 1,130 m²,21.000
13-08-2024,Daire,Özpa - Buca Altınkapı Mahallesi Tenis Kulübü Yanı 45 M2 Doğalgazlı 1. Kat Kiralık Sıfır 1+1,İzmir / Buca / Gaziler Mah.,Ara Kat,Sıfır Bina,1 + 1,49 m²,17.000
15-09-2024,Daire,Buca Ada Emlaktan Atatürk Mh. 1+1 Eşyalı Kiralık Daire,İzmir / Buca / Atatürk Mah.,2. Kat,4 Yaşında,1 + 1,55 m²,17.000
15-08-2024,Daire,Buca Atatürk Mh.De Bella Home Sitesi 1+1 Kiralık Daire,İzmir / Buca / Atatürk Mah.,5. Kat,5 Yaşında,1 + 1,55 m²,19.000
05-10-2024,Daire,Buca Şirinyer Hürriyet Mah Eşyalı 1+1 55 M2 D.Gaz Asansör Otoprk,İzmir / Buca / Hürriyet Mah.,2. Kat,Sıfır Bina,1 + 1,55 m²,20.000
04-10-2024,Daire,Erdem Caddesi Civarı 4+1 150 M2 3 Cepheli Doğalgazlı Bakımlı Arakat Daire,İzmir / Buca / Menderes Mah.,2. Kat,25 Yaşında,4 + 1,150 m²,25.000
25-09-2024,Daire,İnönü Mah. Sıfır 1+1 Kiralık Dubleks,İzmir / Buca / İnönü Mah.,1. Kat,Sıfır Bina,1 + 1,70 m²,13.000
26-09-2024,Daire,Hasanağa'Ya Yürüme Mesafesi Acil 1+1 Eşyalı,İzmir / Buca / Atatürk Mah.,Yüksek Giriş,4 Yaşında,1 + 1,52 m²,13.500
18-09-2024,Daire,Buca'Da 3+1 Siteiçi Doğalgazlı Asansörlü Otoparklı Ferah Kiralık Daire Esnafoğlu'Ndan...,İzmir / Buca / Atatürk Mah.,8. Kat,16 Yaşında,3 + 1,150 m²,26.000
02-10-2024,Daire,Marka'Dan H.Ağa Bahçesi Yakını 2+1 Eşyalı&Klimalı Kiralık Daire,İzmir / Buca / Yaylacık Mah.,Yüksek Giriş,4 Yaşında,2 + 1,70 m²,17.000
23-09-2024,Daire,Şirinyer Hürriyet Mah.2+1 100 M2 Kiralık Bakımlı Arakat Daire,İzmir / Buca / Hürriyet Mah.,2. Kat,9 Yaşında,2 + 1,100 m²,23.000
10-10-2024,Daire,Viraj Emlak Ara Kat 2+1 85mt Uçan Yol Civarı Buca Şirinyer,İzmir / Buca / Çamlık Mah.,1. Kat,20 Yaşında,2 + 1,90 m²,14.000
10-09-2024,Daire,Şirinyer Park - Hipodrom Yakını Eşyalı 3+1,İzmir / Buca / Efeler Mah.,2. Kat,12 Yaşında,3 + 1,120 m²,24.000
12-09-2024,Daire,Safir'Den Doğalgazlı Klimalı 1+1 Eşyalı Daire,İzmir / Buca / Atatürk Mah.,2. Kat,4 Yaşında,1 + 1,55 m²,16.000
10-10-2024,Daire,Miraç Ins Kiralık Sıfır Daire,İzmir / Buca / Yıldız Mah.,1. Kat,Sıfır Bina,1 + 1,45 m²,12.999
08-10-2024,Daire,Eşyalı Kiralık Daire Temiz Sahibinden,İzmir / Buca / Göksu Mah.,3. Kat,10 Yaşında,2 + 1,85 m²,17.000
15-09-2024,Daire,Buca Dumlupınar Mah. Kiralık 2+1 Arakat Daire Dogalgazlı,İzmir / Buca / Dumlupınar Mah.,2. Kat,16 Yaşında,2 + 1,110 m²,18.000
29-08-2024,Daire,Üniversite Yakını Cadde Üzeri 3+1 Full Eşyalı Kiralık Daire,İzmir / Buca / Atatürk Mah.,6. Kat,25 Yaşında,3 + 1,130 m²,20.000
29-08-2024,Daire,Saygın Gayrimenkul Den Doğalgazlı Klimalı Eşyalı 1+1 Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,Ara Kat,5 Yaşında,1 + 1,55 m²,13.500
15-08-2024,Daire,Bella Home Sitesinde Full Eşyalı 1+1 Kiralık Daire,İzmir / Buca / Atatürk Mah.,7. Kat,5 Yaşında,1 + 1,55 m²,18.000
30-09-2024,Residence,Buca Günlük Kiralık Rezidans 7/24 Güvenli Hijyenik,İzmir / Buca / Atatürk Mah.,En Üst Kat,4 Yaşında,2 + 1,90 m²,300
25-09-2024,Daire,İzmir Buca Göksu Mahallesinde Sıfır 3+1 Kiralık Lüks Daire Doğalgaz Asansör Let Işıklandırma,İzmir / Buca / Göksu Mah.,Ara Kat,Sıfır Bina,3 + 1,120 m²,20.000
09-10-2024,Daire,İzmir Buca Çevik Bir Meydanına Yürüme Mesafesin' De Kiralık Daire,İzmir / Buca / Kozağaç Mah.,Zemin,8 Yaşında,3 + 1,130 m²,27.000
