date,category,ad,loc,floor,age,rooms,gross,price
11-10-2024,Daire,Ufuk Mah.3 Oda 1 Salon Klasik Daire,İzmir / Buca / Ufuk Mah.,Ara Kat,35 Yaşında,3 + 1,130 m²,10.500
10-10-2024,Daire,Kiralık Buca Da Yiğitler Mah.3+1 110 M2 Doğalgazlı Açık Otoparkı Olan Merkez De Bir Daire,İzmir / Buca / Yiğitler Mah.,Yarı Bodrum,7 Yaşında,3 + 1,110 m²,20.000
09-10-2024,Daire,Buca Yeşilbağlar Mahallesi'Nde 3+1 Arakat Kiralık Daire,İzmir / Buca / Yeşilbağlar Mah.,Ara Kat,19 Yaşında,3 + 1,120 m²,15.000
11-10-2024,Daire,Goldia Yapı'Dan Kampüs Yakını Kiralık Eşyalı 1+1,İzmir / Buca / Adatepe Mah.,Ara Kat,4 Yaşında,1 + 1,55 m²,16.000
09-10-2024,Daire,Buca Üçkuyular Meydan 3dk.Arakat Doğalgazlı Ankastreli Asansörlü 1+1 Kiralık Daire Esnafoğlu'Ndan,İzmir / Buca / Kozağaç Mah.,Yüksek Giriş,4 Yaşında,1 + 1,60 m²,15.000
10-10-2024,Daire,Buca Kuruçeşmede 2+1 Yüksek Zemim Full Eşyalı Kiralık Daire,İzmir / Buca / Kuruçeşme Mah.,Yüksek Giriş,10 Yaşında,2 + 1,70 m²,21.500
07-10-2024,Daire,İzmir Buca Hürriyet Mah//Şirinyer Menderes Caddesinde//Izbana 8-10dk Mes.//2.Kat Memura Daire,İzmir / Buca / Hürriyet Mah.,2. Kat,25 Yaşında,2 + 0,100 m²,20.000
07-10-2024,Daire,Şirinyer Adnan Kahveci Cd Üzeri 2+1 Ful Lüx Eşyalı Kiralık Daire,İzmir / Buca / Yiğitler Mah.,Ara Kat,14 Yaşında,2 + 1,115 m²,28.000
09-10-2024,Daire,Ata Emlktan Yaylacık Mah. Dmo Lisesi Yk. Bakımlı Geniş 2+1,İzmir / Buca / Yaylacık Mah.,10. Kat,22 Yaşında,2 + 1,120 m²,20.500
10-10-2024,Daire,Boranem--Uçan Yol Mevkisinde Lüx 3+1 Geniş Daire,İzmir / Buca / Çamlık Mah.,Ara Kat,11 Yaşında,3 + 1,145 m²,26.000
