category,room,floor,gross,updated,price,location
Daire,2+1,1. Kat,120 m²,8 Ekim,15.000 TL,İzmir - Karabağlar - Çalıkuşu Mh.
Daire,2+1,2. Kat,75 m²,8 Ekim,16.000 TL,İzmir - Menemen - 85. Yıl Cumhuriyet Mh.
Daire,2+1,3. Kat,100 m²,8 Ekim,17.000 TL,İzmir - Torbalı - Torbalı Mh.
Daire,2+1,1. Kat,95 m²,8 Ekim,25.000 TL,İzmir - Bornova - Kazımdirik Mh.
Daire,2+1,6. Kat,110 m²,8 Ekim,25.000 TL,İzmir - Bornova - Kazımdirik Mh.
Daire,3+1,Çatı Dubleks,110 m²,8 Ekim,25.000 TL,İzmir - Seferihisar - Turabiye Mh.
Daire,2+1,2. Kat,90 m²,8 Ekim,21.000 TL,İzmir - Buca - Laleli Mh.
Daire,1+1,Kot 2 (-2). Kat,80 m²,8 Ekim,15.000 TL,İzmir - Konak - Barbaros Mh.
Daire,1+1,1. Kat,45 m²,8 Ekim,17.000 TL,İzmir - Buca - Adatepe Mh.
Daire,1+1,Yüksek giriş,45 m²,8 Ekim,22.000 TL,İzmir - Karşıyaka - Şemikler Mh.
Daire,2+1,2. Kat,110 m²,8 Ekim,14.000 TL,İzmir - Karabağlar - Refet Bele Mh.
Daire,2+1,3. Kat,95 m²,9 Ekim,16.500 TL,İzmir - Karşıyaka - Zübeyde Hanım Mh.
Daire,2+1,5. Kat,85 m²,8 Ekim,16.000 TL,İzmir - Bornova - Evka 4 Mh.
Daire,3+1,3. Kat,100 m²,8 Ekim,25.000 TL,İzmir - Karabağlar - Esenyalı Mh.
Daire,2+1,Yüksek giriş,120 m²,8 Ekim,19.000 TL,İzmir - Menemen - Kasımpaşa Mh.
Daire,3+1,Yüksek giriş,150 m²,8 Ekim,20.000 TL,İzmir - Menderes - Cüneytbey Mh.
Daire,1+1,1. Kat,50 m²,8 Ekim,14.000 TL,İzmir - Buca - Adatepe Mh.
Daire,3+1,3. Kat,130 m²,8 Ekim,23.000 TL,İzmir - Buca - Barış Mh.
Daire,3+1,2. Kat,130 m²,8 Ekim,18.000 TL,İzmir - Buca - Barış Mh.
Daire,3+1,Çatı katı,130 m²,7 Ekim,25.000 TL,İzmir - Karabağlar - Esenyalı Mh.
Daire,2+1,Bahçe katı,95 m²,9 Ekim,40.000 TL,İzmir - Urla - Denizli Mh.
Daire,3+1,2. Kat,120 m²,7 Ekim,2.500.000 TL,İzmir - Menemen - Mermerli Mh.
Daire,2+1,Yüksek giriş,92 m²,7 Ekim,15.000 TL,İzmir - Çiğli - Şirintepe Mh.
Daire,1+1,Yüksek giriş,55 m²,9 Ekim,13.500 TL,İzmir - Buca - Adatepe Mh.
Daire,2+1,2. Kat,100 m²,8 Ekim,14.000 TL,İzmir - Bergama - Bahçelievler Mh.
Daire,2+1,Bahçe katı,95 m²,9 Ekim,22.000 TL,İzmir - Çiğli - Köyiçi Mh.
Daire,3+1,2. Kat,90 m²,7 Ekim,20.000 TL,İzmir - Menderes - Cüneytbey Mh.
Daire,2+1,4. Kat,100 m²,7 Ekim,24.000 TL,İzmir - Karabağlar - Esenyalı Mh.
Daire,2+1,1. Kat,75 m²,7 Ekim,30.000 TL,İzmir - Çeşme - Reisdere Mh.
Daire,2+1,Çatı katı,85 m²,7 Ekim,34.500 TL,İzmir - Karşıyaka - Şemikler Mh.
Daire,2+1,Çatı katı,165 m²,7 Ekim,13.000 TL,İzmir - Kemalpaşa - Sütçüler Mh.
Daire,2+1,Yüksek giriş,95 m²,9 Ekim,18.500 TL,İzmir - Karabağlar - Yunus Emre Mh.
Daire,1+1,3. Kat,75 m²,9 Ekim,500 TL,İzmir - Buca - Kuruçeşme Mh.
