category,room,floor,gross,updated,price,location
Daire,1+1,1. Kat,34 m²,4 Ekim,13.000 TL,İzmir - Buca - Menderes Mh.
Villa,5+2,,650 m²,5 Ekim,75.000 TL,İzmir - Çeşme - Musalla Mh.
Villa,4+1,,250 m²,5 Ekim,50.000 TL,İzmir - Çeşme - Alaçatı Mh.
Daire,3+1,Düz Giriş (Zemin),160 m²,4 Ekim,25.000 TL,İzmir - Buca - Kozağaç Mh.
Villa,3+1,,180 m²,4 Ekim,40.000 TL,İzmir - Seferihisar - Ulamış Mh.
Villa,3+1,,200 m²,4 Ekim,40.000 TL,İzmir - Çeşme - Alaçatı Mh.
Daire,2+1,Müstakil,80 m²,4 Ekim,7.000 TL,İzmir - Bayraklı - Onur Mh.
Daire,2+1,5. Kat,100 m²,6 Ekim,15.000 TL,İzmir - Tire - Kurtuluş Mh.
Daire,Stüdyo,2. Kat,80 m²,4 Ekim,17.000 TL,İzmir - Bayraklı - Adalet Mh.
Daire,2+1,2. Kat,80 m²,4 Ekim,18.000 TL,İzmir - Buca - Kuruçeşme Mh.
Daire,3+1,Kot 3 (-3). Kat,120 m²,9 Ekim,23.000 TL,İzmir - Balçova - Eğitim Mh.
Daire,2+1,3. Kat,100 m²,4 Ekim,13.000 TL,İzmir - Buca - Çamlıkule Mh.
Daire,2+0,2. Kat,60 m²,4 Ekim,19.000 TL,İzmir - Buca - Yaylacık Mh.
Daire,Stüdyo,2. Kat,30 m²,8 Ekim,18.000 TL,İzmir - Bornova - Kazımdirik Mh.
Daire,3+1,1. Kat,125 m²,4 Ekim,23.000 TL,İzmir - Buca - Kozağaç Mh.
Daire,3+1,4. Kat,130 m²,4 Ekim,24.000 TL,İzmir - Buca - Menderes Mh.
Daire,2+1,Villa tipi,125 m²,4 Ekim,30.000 TL,İzmir - Aliağa - Bozköy Mh.
Daire,2+1,Bahçe katı,85 m²,4 Ekim,25.000 TL,İzmir - Foça - Mustafa Kemal Atatürk Mh.
Daire,2+1,14. Kat,110 m²,4 Ekim,30.000 TL,İzmir - Bornova - Yeşilova Mh.
Daire,2+1,Yüksek giriş,80 m²,4 Ekim,18.000 TL,İzmir - Konak - Kocatepe Mh.
Daire,Stüdyo,1. Kat,61 m²,8 Ekim,21.000 TL,İzmir - Bornova - Ergene Mh.
Daire,3+1,3. Kat,130 m²,4 Ekim,15.000 TL,İzmir - Buca - Yaylacık Mh.
Daire,2+1,Kot 1 (-1). Kat,95 m²,8 Ekim,20.000 TL,İzmir - Menemen - Kemal Atatürk Mh.
Daire,2+1,2. Kat,80 m²,4 Ekim,30.000 TL,İzmir - Çeşme - Musalla Mh.
Daire,1+1,1. Kat,55 m²,9 Ekim,15.000 TL,İzmir - Buca - Adatepe Mh.
Daire,3+1,10. Kat,154 m²,4 Ekim,26.500 TL,İzmir - Bayraklı - Manavkuyu Mh.
Daire,3+1,3. Kat,285 m²,4 Ekim,13.500 TL,İzmir - Bergama - Bahçelievler Mh.
Daire,2+1,9. Kat,85 m²,4 Ekim,18.500 TL,İzmir - Çiğli - Evka-5 Mh.
Daire,2+1,Yüksek giriş,90 m²,8 Ekim,3.250.000 TL,İzmir - Buca - Yaylacık Mh.
Daire,2+1,2. Kat,115 m²,4 Ekim,15.000 TL,İzmir - Torbalı - Tepeköy Mh.
Daire,2+1,Müstakil,150 m²,4 Ekim,18.000 TL,İzmir - Balçova - Eğitim Mh.
Daire,3+0,3. Kat,80 m²,5 Ekim,400 TL,İzmir - Buca - Adatepe Mh.
Daire,3+0,3. Kat,80 m²,4 Ekim,300 TL,İzmir - Buca - Adatepe Mh.
Daire,2+1,1. Kat,95 m²,4 Ekim,17.000 TL,İzmir - Buca - Adatepe Mh.
Daire,1 Oda,3. Kat,50 m²,4 Ekim,14.000 TL,İzmir - Menemen - İnönü Mh.
Daire,3+1,4. Kat,130 m²,8 Ekim,21.000 TL,İzmir - Karşıyaka - Örnekköy Mh.
Daire,3+1,2. Kat,180 m²,4 Ekim,25.000 TL,İzmir - Buca - Gaziler Mh.
Residence,1+1,5. Kat,50 m²,4 Ekim,40.000 TL,İzmir - Bornova - Kazımdirik Mh.
Daire,4+1,3. Kat,150 m²,9 Ekim,25.000 TL,İzmir - Bayraklı - Org. Nafiz Gürman Mh.
Daire,2+1,6. Kat,115 m²,9 Ekim,35.000 TL,İzmir - Karşıyaka - Bahariye Mh.
Daire,3+1,2. Kat,120 m²,4 Ekim,20.000 TL,İzmir - Buca - Dumlupınar Mh.
Daire,3+1,Yüksek giriş,125 m²,4 Ekim,20.000 TL,İzmir - Buca - Adatepe Mh.
Daire,3+1,2. Kat,150 m²,4 Ekim,25.000 TL,İzmir - Buca - Adatepe Mh.
Daire,1+1,3. Kat,45 m²,4 Ekim,14.000 TL,İzmir - Buca - Adatepe Mh.
Daire,3+1,3. Kat,135 m²,4 Ekim,15.500 TL,İzmir - Bergama - Fatih Mh.
Daire,3+1,Yüksek giriş,110 m²,4 Ekim,18.000 TL,İzmir - Buca - Menderes Mh.
Daire,2+1,3. Kat,80 m²,4 Ekim,16.000 TL,İzmir - Buca - Yaylacık Mh.
Villa,4+1,,390 m²,3 Ekim,85.000 TL,İzmir - Urla - Denizli Mh.
Daire,2.5+1,3. Kat,110 m²,9 Ekim,18.000 TL,İzmir - Karabağlar - Selvili Mh.
Daire,2+1,5. Kat,115 m²,3 Ekim,20.000 TL,İzmir - Karşıyaka - Bahariye Mh.
Daire,3+1,3. Kat,170 m²,4 Ekim,20.000 TL,İzmir - Buca - İnönü Mh.
Villa,3+1,,220 m²,3 Ekim,60.000 TL,İzmir - Menderes - Kemalpaşa Mh.
Villa,4+1,,220 m²,3 Ekim,55.000 TL,İzmir - Menderes - Kemalpaşa Mh.
Daire,3+1,2. Kat,110 m²,3 Ekim,16.500 TL,İzmir - Bornova - Mevlana Mh.
Daire,2+1,2. Kat,80 m²,3 Ekim,18.000 TL,İzmir - Karabağlar - Metin Oktay Mh.
Daire,3+1,2. Kat,110 m²,3 Ekim,30.000 TL,İzmir - Bornova - Erzene Mh.
Daire,2+1,Çatı katı,85 m²,3 Ekim,18.000 TL,İzmir - Konak - Murat Reis Mh.
Daire,3+1,2. Kat,120 m²,5 Ekim,13.000 TL,İzmir - Bayraklı - Soğukkuyu Mh.
Daire,2+1,Kot 1 (-1). Kat,90 m²,6 Ekim,15.000 TL,İzmir - Balçova - Teleferik Mh.
Daire,2+1,2. Kat,90 m²,3 Ekim,12.500 TL,İzmir - Menemen - Yahşelli Mh.
Daire,2+1,2. Kat,100 m²,3 Ekim,18.000 TL,İzmir - Aliağa - Kültür Mh.
Daire,3+1,7. Kat,120 m²,4 Ekim,18.000 TL,İzmir - Buca - Buca Koop. Mh.
Daire,2+1,Yüksek giriş,100 m²,6 Ekim,18.000 TL,İzmir - Balçova - Fevzi Çakmak Mh.
Daire,3+1,2. Kat,140 m²,9 Ekim,20.000 TL,İzmir - Balçova - Eğitim Mh.
Daire,2+1,3. Kat,98 m²,8 Ekim,22.000 TL,İzmir - Konak - Kahramanlar Mh.
Daire,3+1,Kot 2 (-2). Kat,135 m²,3 Ekim,20.000 TL,İzmir - Bornova - Yeşilova Mh.
Daire,3+1,5. Kat,110 m²,3 Ekim,13.500 TL,İzmir - Karabağlar - Kazım Karabekir Mh.
Daire,1+1,Yüksek giriş,55 m²,9 Ekim,14.000 TL,İzmir - Buca - Adatepe Mh.
Daire,1+1,3. Kat,75 m²,4 Ekim,500 TL,İzmir - Buca - Yaylacık Mh.
Daire,2+1,Çatı katı,80 m²,4 Ekim,450 TL,İzmir - Buca - Adatepe Mh.
Daire,3+1,3. Kat,125 m²,3 Ekim,17.000 TL,İzmir - Çiğli - Küçük Çiğli Mh.
Daire,2+1,4. Kat,80 m²,3 Ekim,23.000 TL,İzmir - Konak - Alsancak Mh.
Daire,2+1,Bahçe katı,91 m²,3 Ekim,15.000 TL,İzmir - Çiğli - Küçük Çiğli Mh.
Daire,2+1,Düz Giriş (Zemin),95 m²,3 Ekim,16.500 TL,İzmir - Buca - Yıldız Mh.
Daire,3+1,2. Kat,140 m²,3 Ekim,16.500 TL,İzmir - Torbalı - Cumhuriyet Mh.
Daire,3+1,2. Kat,140 m²,3 Ekim,11.500 TL,İzmir - Bergama - Zafer Mh.
Daire,2+1,Kot 1 (-1). Kat,110 m²,4 Ekim,14.500 TL,İzmir - Torbalı - Fevzi Çakmak Mh.
Daire,2+1,3. Kat,90 m²,5 Ekim,15.000 TL,İzmir - Seferihisar - Mersin Alanı Mh.
Daire,3+1,1. Kat,150 m²,8 Ekim,18.500 TL,İzmir - Buca - Atatürk Mh.
Daire,2+1,2. Kat,120 m²,10 Ekim,23.000 TL,İzmir - Bornova - Kızılay Mh.
Daire,2+1,Yüksek giriş,110 m²,3 Ekim,17.000 TL,İzmir - Balçova - Eğitim Mh.
Daire,1+1,1. Kat,50 m²,9 Ekim,15.000 TL,İzmir - Buca - Dicle Mh.
Daire,3+1,7. Kat,128 m²,5 Ekim,24.000 TL,İzmir - Bayraklı - Manavkuyu Mh.
Daire,3+1,Kot 1 (-1). Kat,120 m²,3 Ekim,20.000 TL,İzmir - Çiğli - Küçük Çiğli Mh.
Daire,3+1,7. Kat,140 m²,9 Ekim,32.500 TL,İzmir - Buca - Yeşilbağlar Mh.
Daire,2.5+1,Düz Giriş (Zemin),120 m²,7 Ekim,15.000 TL,İzmir - Konak - Duatepe Mh.
Daire,3+1,4. Kat,115 m²,9 Ekim,22.000 TL,İzmir - Karşıyaka - Bahariye Mh.
Daire,2+1,Düz Giriş (Zemin),120 m²,3 Ekim,15.000 TL,İzmir - Gaziemir - Hürriyet Mh.
Daire,2+1,4. Kat,100 m²,8 Ekim,23.500 TL,İzmir - Karşıyaka - Bostanlı Mh.
Daire,2+1,10. Kat,90 m²,2 Ekim,20.500 TL,İzmir - Karabağlar - Uzundere Mh.
Daire,3+0,3. Kat,80 m²,4 Ekim,450 TL,İzmir - Buca - Adatepe Mh.
Daire,2+1,2. Kat,105 m²,3 Ekim,35.000 TL,İzmir - Konak - Güzelyalı Mh.
Daire,2+1,2. Kat,95 m²,2 Ekim,19.000 TL,İzmir - Buca - Adatepe Mh.
Villa,3.5+1,,170 m²,2 Ekim,600.000 TL,İzmir - Çeşme - Alaçatı Mh.
Daire,3+1,1. Kat,130 m²,4 Ekim,12.500 TL,İzmir - Torbalı - Fevzi Çakmak Mh.
Daire,3+1,7. Kat,140 m²,6 Ekim,35.000 TL,İzmir - Karşıyaka - Örnekköy Mh.
Daire,2+1,4. Kat,95 m²,6 Ekim,15.000 TL,İzmir - Tire - Fatih Mh.
Daire,2+1,2. Kat,100 m²,9 Ekim,15.000 TL,İzmir - Karabağlar - Uğur Mumcu Mh.
Daire,1+1,Düz Giriş (Zemin),55 m²,4 Ekim,10.000 TL,İzmir - Aliağa - Kurtuluş Mh.
Daire,2+1,2. Kat,100 m²,2 Ekim,16.500 TL,İzmir - Karabağlar - Barış Mh.
Daire,3+1,3. Kat,125 m²,2 Ekim,18.500 TL,İzmir - Karabağlar - Yurdoğlu Mh.
Daire,2+1,Düz Giriş (Zemin),100 m²,2 Ekim,2.350.000 TL,İzmir - Konak - Çankaya Mh.
Daire,2+1,5. Kat,85 m²,6 Ekim,26.500 TL,İzmir - Balçova - Onur Mh.
Daire,2+1,2. Kat,104 m²,2 Ekim,22.000 TL,İzmir - Karşıyaka - Donanmacı Mh.
Daire,3+1,4. Kat,145 m²,5 Ekim,18.000 TL,İzmir - Karabağlar - Gülyaka Mh.
Daire,3+1,3. Kat,170 m²,9 Ekim,29.000 TL,İzmir - Karşıyaka - Dedebaşı Mh.
Daire,3+1,Kot 3 (-3). Kat,132 m²,2 Ekim,16.000 TL,İzmir - Çiğli - Balatçık Mh.
Daire,2+1,Kot 3 (-3). Kat,140 m²,2 Ekim,17.000 TL,İzmir - Torbalı - Muratbey Mh.
Daire,2+1,3. Kat,85 m²,9 Ekim,20.000 TL,İzmir - Buca - Laleli Mh.
Daire,1+1,2. Kat,55 m²,3 Ekim,13.500 TL,İzmir - Buca - Adatepe Mh.
Daire,1+1,2. Kat,65 m²,9 Ekim,17.000 TL,İzmir - Buca - Kuruçeşme Mh.
Daire,2+1,Kot 2 (-2). Kat,105 m²,2 Ekim,16.000 TL,İzmir - Çiğli - Harmandalı Gazi Mustafa Kemal Atatürk Mh.
Daire,3+1,5. Kat,130 m²,2 Ekim,25.000 TL,İzmir - Karabağlar - Vatan Mh.
Daire,2+1,Düz Giriş (Zemin),95 m²,2 Ekim,15.750 TL,İzmir - Konak - Murat Reis Mh.
Daire,2+1,1. Kat,105 m²,2 Ekim,26.000 TL,İzmir - Karşıyaka - Şemikler Mh.
Daire,2+1,Yüksek giriş,90 m²,8 Ekim,10.000 TL,İzmir - Bornova - Karacaoğlan Mh.
Daire,2+1,4. Kat,90 m²,2 Ekim,13.000 TL,İzmir - Karşıyaka - Donanmacı Mh.
Daire,3+1,1. Kat,155 m²,2 Ekim,30.000 TL,İzmir - Narlıdere - Çatalkaya Mh.
Daire,1+1,2. Kat,45 m²,2 Ekim,17.000 TL,İzmir - Buca - Kuruçeşme Mh.
Daire,3+1,4. Kat,120 m²,6 Ekim,24.000 TL,İzmir - Buca - Menderes Mh.
Daire,3+1,6. Kat,100 m²,3 Ekim,13.000 TL,İzmir - Karabağlar - Refet Bele Mh.
Daire,2+1,Bahçe katı,85 m²,2 Ekim,20.000 TL,İzmir - Konak - Kılıç Reis Mh.
Daire,3+1,1. Kat,125 m²,2 Ekim,18.000 TL,İzmir - Buca - Buca Koop. Mh.
Daire,1+1,7. Kat,65 m²,2 Ekim,20.000 TL,İzmir - Çiğli - Balatçık Mh.
Müstakil Ev,2+1,,640 m²,2 Ekim,45.000 TL,İzmir - Torbalı - Ortaköy Mh.
Daire,3+1,3. Kat,110 m²,2 Ekim,25.750 TL,İzmir - Konak - Kılıç Reis Mh.
Daire,1+1,3. Kat,65 m²,2 Ekim,12.000 TL,İzmir - Buca - Yıldız Mh.
Daire,2+1,Yüksek giriş,100 m²,4 Ekim,18.000 TL,İzmir - Karşıyaka - Nergiz Mh.
Daire,3+1,4. Kat,160 m²,4 Ekim,32.000 TL,İzmir - Menemen - Ulus Mh.
Daire,2+1,2. Kat,115 m²,4 Ekim,16.000 TL,İzmir - Bergama - Ertuğrul Mh.
Daire,1+1,2. Kat,61 m²,4 Ekim,30.000 TL,İzmir - Karşıyaka - Yalı Mh.
Daire,3+1,3. Kat,135 m²,4 Ekim,19.000 TL,İzmir - Karabağlar - Ali Fuat Cebesoy Mh.
Daire,3+1,4. Kat,130 m²,4 Ekim,20.000 TL,İzmir - Karşıyaka - Örnekköy Mh.
Daire,2+1,2. Kat,83 m²,4 Ekim,27.500 TL,İzmir - Karşıyaka - İmbatlı Mh.
Daire,3+1,2. Kat,135 m²,4 Ekim,29.000 TL,İzmir - Bayraklı - Soğukkuyu Mh.
Müstakil Ev,2+1,,85 m²,4 Ekim,12.000 TL,İzmir - Bayraklı - Emek Mh.
Daire,2+1,4. Kat,125 m²,1 Ekim,25.500 TL,İzmir - Buca - Çamlıkule Mh.
Daire,3+1,Yüksek giriş,110 m²,1 Ekim,24.000 TL,İzmir - Buca - İnkılap Mh.
Daire,3+1,3. Kat,140 m²,1 Ekim,33.000 TL,İzmir - Buca - Yaylacık Mh.
Daire,2+0,2. Kat,75 m²,1 Ekim,18.000 TL,İzmir - Buca - Adatepe Mh.
Daire,3+1,Düz Giriş (Zemin),110 m²,2 Ekim,12.000 TL,İzmir - Torbalı - Tepeköy Mh.
Daire,1+1,4. Kat,55 m²,1 Ekim,25.000 TL,İzmir - Karşıyaka - Yalı Mh.
Daire,1+1,3. Kat,90 m²,9 Ekim,500 TL,İzmir - Çiğli - Ataşehir Mh.
Daire,3+1,1. Kat,130 m²,1 Ekim,18.000 TL,İzmir - Konak - Barbaros Mh.
Daire,1+1,4. Kat,60 m²,7 Ekim,14.000 TL,İzmir - Bornova - Kızılay Mh.
Daire,3+1,4. Kat,195 m²,1 Ekim,25.000 TL,İzmir - Balçova - Korutürk Mh.
Daire,1 Oda,11. Kat,53 m²,1 Ekim,32.500 TL,İzmir - Konak - Halkapınar Mh.
Daire,2+1,5. Kat,140 m²,1 Ekim,30.000 TL,İzmir - Konak - Barbaros Mh.
Daire,2+1,Bahçe katı,85 m²,5 Ekim,19.000 TL,İzmir - Dikili - Gazipaşa Mh.
Daire,3+1,2. Kat,128 m²,1 Ekim,22.000 TL,İzmir - Buca - Mustafa Kemal Mh.
Daire,3+1,2. Kat,145 m²,7 Ekim,23.000 TL,İzmir - Bergama - Maltepe Mh.
Daire,2+1,Düz Giriş (Zemin),110 m²,1 Ekim,20.000 TL,İzmir - Karabağlar - Sarıyer Mh.
Daire,2+1,2. Kat,85 m²,9 Ekim,8.000 TL,İzmir - Karabağlar - Selvili Mh.
Daire,3+1,3. Kat,130 m²,1 Ekim,15.000 TL,İzmir - Bergama - Turabey Mh.
Daire,3+1,2. Kat,120 m²,1 Ekim,12.000 TL,İzmir - Karabağlar - Abdi İpekçi Mh.
Daire,2+1,4. Kat,120 m²,1 Ekim,20.000 TL,İzmir - Buca - Ufuk Mh.
Daire,3+1,2. Kat,140 m²,1 Ekim,26.000 TL,İzmir - Menderes - Altıntepe Mh.
Daire,2+1,8. Kat,100 m²,2 Ekim,22.500 TL,İzmir - Konak - Murat Reis Mh.
Daire,3+1,Yüksek giriş,120 m²,1 Ekim,22.000 TL,İzmir - Konak - Piri Reis Mh.
Daire,1+1,20. Kat,88 m²,8 Ekim,21.000 TL,İzmir - Bornova - Barbaros Mh.
Daire,2+1,4. Kat,110 m²,9 Ekim,14.000 TL,İzmir - Karabağlar - Barış Mh.
Daire,3+1,Villa tipi,220 m²,1 Ekim,30.000 TL,İzmir - Menderes - Gümüldür Atatürk Mh.
Daire,1+1,Yüksek giriş,55 m²,7 Ekim,16.000 TL,İzmir - Buca - Adatepe Mh.
Daire,2+1,1. Kat,85 m²,1 Ekim,18.000 TL,İzmir - Bayraklı - Bayraklı Mh.
Daire,2+1,2. Kat,110 m²,2 Ekim,15.000 TL,İzmir - Bayraklı - Çay Mh.
Daire,2+1,3. Kat,100 m²,1 Ekim,25.000 TL,İzmir - Bornova - Kızılay Mh.
Daire,3+1,2. Kat,110 m²,1 Ekim,28.500 TL,İzmir - Aliağa - Yenişakran Mh.
Daire,3+1,6. Kat,140 m²,1 Ekim,19.000 TL,İzmir - Çiğli - Evka-5 Mh.
Daire,2+1,Yüksek giriş,95 m²,1 Ekim,13.000 TL,İzmir - Çiğli - Balatçık Mh.
Daire,3+1,5. Kat,140 m²,1 Ekim,26.500 TL,İzmir - Buca - Çamlıkule Mh.
Daire,4+1,5. Kat,235 m²,1 Ekim,85.000 TL,İzmir - Bornova - Erzene Mh.
Daire,2+1,2. Kat,100 m²,1 Ekim,15.000 TL,İzmir - Çiğli - Küçük Çiğli Mh.
Daire,1 Oda,1. Kat,50 m²,1 Ekim,17.500 TL,İzmir - Çiğli - Uğur Mumcu Mh.
Daire,3+1,Yüksek giriş,130 m²,4 Ekim,15.500 TL,İzmir - Karabağlar - Uğur Mumcu Mh.
Daire,3+1,3. Kat,130 m²,2 Ekim,21.000 TL,İzmir - Karabağlar - Gülyaka Mh.
Daire,3+1,2. Kat,140 m²,1 Ekim,20.000 TL,İzmir - Buca - Atatürk Mh.
Villa,2+1,,100 m²,1 Ekim,150.000 TL,İzmir - Çeşme - Germiyan Mh.
Daire,2+1,Yüksek giriş,110 m²,9 Ekim,19.000 TL,İzmir - Menemen - Kasımpaşa Mh.
Daire,3+1,Kot 2 (-2). Kat,130 m²,4 Ekim,20.000 TL,İzmir - Çiğli - Küçük Çiğli Mh.
Daire,2+1,3. Kat,100 m²,8 Ekim,25.000 TL,İzmir - Konak - Mimar Sinan Mh.
Daire,2+1,4. Kat,120 m²,1 Ekim,20.000 TL,İzmir - Buca - Ufuk Mh.
Daire,4+1,3. Kat,190 m²,9 Ekim,30.000 TL,İzmir - Bornova - Kazımdirik Mh.
Daire,3+1,4. Kat,115 m²,1 Ekim,26.000 TL,İzmir - Konak - Güzelyalı Mh.
Daire,2+1,1. Kat,110 m²,9 Ekim,18.000 TL,İzmir - Torbalı - Torbalı Mh.
Daire,3+1,Yüksek giriş,140 m²,9 Ekim,25.000 TL,İzmir - Çiğli - Yakakent Mh.
Daire,3+1,2. Kat,140 m²,8 Ekim,12.500 TL,İzmir - Menemen - Kazımpaşa Mh.
Daire,2+1,2. Kat,90 m²,4 Ekim,11.000 TL,İzmir - Torbalı - Bahçelievler Mh.
Daire,Stüdyo,Müstakil,25 m²,6 Ekim,10.000 TL,İzmir - Urla - Gülbahçe Mh.
Daire,2+1,Yüksek giriş,400 m²,7 Ekim,19.000 TL,İzmir - Urla - Gülbahçe Mh.
Daire,2+1,2. Kat,85 m²,9 Ekim,25.000 TL,İzmir - Karşıyaka - Nergiz Mh.
Daire,4+1,Villa tipi,170 m²,1 Ekim,27.000 TL,İzmir - Menderes - Çukuraltı Mh.
Daire,1+1,4. Kat,52 m²,1 Ekim,19.000 TL,İzmir - Karşıyaka - İnönü Mh.
Daire,3+1,8. Kat,120 m²,30 Eylül,17.000 TL,İzmir - Çiğli - Yakakent Mh.
Daire,1+1,2. Kat,70 m²,30 Eylül,30.000 TL,İzmir - Çeşme - İsmet İnönü Mh.
Daire,1+1,Bahçe katı,55 m²,30 Eylül,7.500 TL,İzmir - Çiğli - Şirintepe Mh.
Daire,3+1,Yüksek giriş,120 m²,30 Eylül,15.500 TL,İzmir - Çiğli - Şirintepe Mh.
Daire,3+1,1. Kat,120 m²,9 Ekim,23.000 TL,İzmir - Bornova - Kızılay Mh.
Daire,3+1,2. Kat,120 m²,4 Ekim,20.000 TL,İzmir - Bergama - Fatih Mh.
Daire,3+1,Kot 3 (-3). Kat,110 m²,30 Eylül,13.000 TL,İzmir - Çiğli - Yakakent Mh.
Daire,2+1,2. Kat,100 m²,30 Eylül,23.000 TL,İzmir - Bayraklı - Tepekule Mh.
Daire,4+1,Müstakil,450 m²,30 Eylül,110.000 TL,İzmir - Güzelbahçe - Mustafa Kemal Paşa Mh.
Daire,2+1,2. Kat,75 m²,30 Eylül,25.000 TL,İzmir - Urla - Güvendik Mh.
Daire,3+1,3. Kat,120 m²,30 Eylül,25.000 TL,İzmir - Konak - Çankaya Mh.
Daire,1+1,4. Kat,80 m²,30 Eylül,13.500 TL,İzmir - Karabağlar - Bozyaka Mh.
Daire,4+1,Müstakil,300 m²,30 Eylül,90.000 TL,İzmir - Urla - Kalabak Mh.
Yazlık,2+1,Bahçe dublex,86 m²,30 Eylül,35.000 TL,İzmir - Foça - Mustafa Kemal Atatürk Mh.
Daire,2+1,Bahçe katı,75 m²,9 Ekim,10.000 TL,İzmir - Aliağa - Yeni Mh.
Daire,2+1,4. Kat,100 m²,4 Ekim,14.000 TL,İzmir - Konak - Mithatpaşa Mh.
Daire,2+1,1. Kat,101 m²,30 Eylül,15.000 TL,İzmir - Buca - Yıldız Mh.
Daire,2+1,3. Kat,125 m²,30 Eylül,20.000 TL,İzmir - Buca - Fırat Mh.
Daire,3+1,Çatı katı,120 m²,30 Eylül,20.000 TL,İzmir - Konak - Göztepe Mh.
Daire,2+1,4. Kat,85 m²,2 Ekim,39.000 TL,İzmir - Bornova - Yeşilova Mh.
Daire,2+1,Yüksek giriş,105 m²,9 Ekim,13.000 TL,İzmir - Buca - Çamlık Mh.
Daire,1+1,4. Kat,43 m²,2 Ekim,35.000 TL,İzmir - Konak - Halkapınar Mh.
Daire,1 Oda,Çatı katı,95 m²,30 Eylül,10.000 TL,İzmir - Konak - Murat Reis Mh.
Daire,3+1,4. Kat,150 m²,30 Eylül,23.000 TL,İzmir - Buca - Vali Rahmi Bey Mh.
Daire,2+1,2. Kat,110 m²,30 Eylül,22.000 TL,İzmir - Buca - İnkılap Mh.
Daire,3+1,Yüksek giriş,145 m²,4 Ekim,30.000 TL,İzmir - Menderes - Cüneytbey Mh.
Daire,2+1,Bahçe dublex,200 m²,30 Eylül,22.500 TL,İzmir - Bornova - Atatürk Mh.
Daire,3+1,Yüksek giriş,100 m²,30 Eylül,20.000 TL,İzmir - Bornova - Atatürk Mh.
Daire,1+1,3. Kat,55 m²,30 Eylül,14.500 TL,İzmir - Buca - Atatürk Mh.
Daire,2+1,1. Kat,90 m²,30 Eylül,27.000 TL,İzmir - Konak - Murat Reis Mh.
Daire,2+1,Yüksek giriş,80 m²,7 Ekim,20.000 TL,İzmir - Balçova - Eğitim Mh.
Daire,2+1,2. Kat,110 m²,7 Ekim,15.000 TL,İzmir - Bergama - Gazipaşa Mh.
Daire,2+1,2. Kat,90 m²,30 Eylül,10.000 TL,İzmir - Tire - Toki Mh.
Daire,3+1,2. Kat,120 m²,7 Ekim,15.000 TL,İzmir - Buca - Yeşilbağlar Mh.
Daire,3+1,2. Kat,125 m²,7 Ekim,20.000 TL,İzmir - Buca - Yeşilbağlar Mh.
Daire,1+1,Düz Giriş (Zemin),85 m²,30 Eylül,12.000 TL,İzmir - Buca - Yeşilbağlar Mh.
Daire,3+1,1. Kat,130 m²,30 Eylül,20.000 TL,İzmir - Buca - Mustafa Kemal Mh.
Daire,2+1,Düz Giriş (Zemin),100 m²,30 Eylül,15.000 TL,İzmir - Buca - Yeşilbağlar Mh.
Daire,2+1,Yüksek giriş,100 m²,30 Eylül,16.000 TL,İzmir - Bornova - Atatürk Mh.
Daire,3+1,Yüksek giriş,125 m²,7 Ekim,30.000 TL,İzmir - Karabağlar - Üçkuyular Mh.
Daire,3+1,Çatı katı,120 m²,30 Eylül,15.000 TL,İzmir - Karşıyaka - Goncalar Mh.
Daire,3+1,3. Kat,125 m²,9 Ekim,18.500 TL,İzmir - Menemen - Gazi Mh.
Daire,3+1,1. Kat,140 m²,30 Eylül,28.500 TL,İzmir - Bayraklı - R. Şevket İnce Mh.
Daire,3+1,1. Kat,140 m²,3 Ekim,14.000 TL,İzmir - Tire - İhsaniye Mh.
Daire,2+1,3. Kat,110 m²,3 Ekim,23.000 TL,İzmir - Karabağlar - Bahar Mh.
Daire,1+1,3. Kat,57 m²,29 Eylül,15.000 TL,İzmir - Buca - Yıldız Mh.
Daire,2+1,2. Kat,90 m²,9 Ekim,22.500 TL,İzmir - Bornova - Doğanlar Mh.
Daire,3+1,Yüksek giriş,122 m²,29 Eylül,17.000 TL,İzmir - Çiğli - Harmandalı Gazi Mustafa Kemal Atatürk Mh.
Daire,2+1,5. Kat,90 m²,5 Ekim,30.000 TL,İzmir - Karşıyaka - İmbatlı Mh.
Daire,3+1,4. Kat,130 m²,29 Eylül,25.000 TL,İzmir - Buca - Atatürk Mh.
Daire,2+1,Yüksek giriş,85 m²,29 Eylül,16.000 TL,İzmir - Buca - Kozağaç Mh.
Villa,2+1,,60 m²,8 Ekim,26.000 TL,İzmir - Urla - Barbaros Mh.
Daire,3+1,1. Kat,145 m²,29 Eylül,16.000 TL,İzmir - Buca - Atatürk Mh.
Villa,3+1,,140 m²,30 Eylül,35.000 TL,İzmir - Urla - Atatürk Mh.
Daire,2+1,2. Kat,65 m²,29 Eylül,15.000 TL,İzmir - Buca - Kuruçeşme Mh.
Daire,2+1,1. Kat,110 m²,9 Ekim,13.000 TL,İzmir - Bayraklı - Alpaslan Mh.
Daire,3+1,6. Kat,180 m²,4 Ekim,53.000 TL,İzmir - Bornova - Yeşilova Mh.
Daire,3+1,1. Kat,160 m²,9 Ekim,14.000 TL,İzmir - Kemalpaşa - Ören 75.yıl Cumhuriyet Mh.
Daire,3+1,8. Kat,145 m²,9 Ekim,50.000 TL,İzmir - Bornova - Erzene Mh.
